"height [mm]","radius [mm]","Freq [GHz]","dB(S(1,1)) []"
9,7,4,-1.72319269064284
9,7,4.02005012531328,-1.79253795880597
9,7,4.04010025062657,-1.86460856003097
9,7,4.06015037593985,-1.9394814235469
9,7,4.08020050125313,-2.01723084789711
9,7,4.10025062656642,-2.09792786600715
9,7,4.1203007518797,-2.18163956326068
9,7,4.14035087719298,-2.26842834936
9,7,4.16040100250627,-2.35835118538029
9,7,4.18045112781955,-2.45145876811988
9,7,4.20050125313283,-2.54779467459511
9,7,4.22055137844612,-2.64739447032356
9,7,4.2406015037594,-2.75028478588216
9,7,4.26065162907268,-2.85648236710822
9,7,4.28070175438596,-2.96599310522673
9,7,4.30075187969925,-3.07881105413604
9,7,4.32080200501253,-3.19491744305778
9,7,4.34085213032581,-3.31427969375761
9,7,4.3609022556391,-3.43685045256518
9,7,4.38095238095238,-3.56256664847058
9,7,4.40100250626566,-3.69134858964677
9,7,4.42105263157895,-3.82309911184093
9,7,4.44110275689223,-3.95770279319831
9,7,4.46115288220551,-4.09502525121784
9,7,4.4812030075188,-4.23491253867667
9,7,4.50125313283208,-4.37719065648933
9,7,4.52130325814536,-4.52166520254321
9,7,4.54135338345865,-4.66812117653141
9,7,4.56140350877193,-4.81632296162287
9,7,4.58145363408521,-4.96601450437356
9,7,4.6015037593985,-5.11691971448136
9,7,4.62155388471178,-5.26874310569186
9,7,4.64160401002506,-5.42117069821255
9,7,4.66165413533835,-5.57387120121938
9,7,4.68170426065163,-5.72649749127602
9,7,4.70175438596491,-5.87868839855716
9,7,4.7218045112782,-6.030070807535
9,7,4.74185463659148,-6.18026207216158
9,7,4.76190476190476,-6.32887273752793
9,7,4.78195488721805,-6.47550955057363
9,7,4.80200501253133,-6.61977873184497
9,7,4.82205513784461,-6.7612894688669
9,7,4.84210526315789,-6.89965757985738
9,7,4.86215538847118,-7.03450928486849
9,7,4.88220551378446,-7.16548501067211
9,7,4.90225563909774,-7.29224314660767
9,7,4.92230576441103,-7.41446366194452
9,7,4.94235588972431,-7.53185149184018
9,7,4.96240601503759,-7.64413959928126
9,7,4.98245614035088,-7.75109162489219
9,7,5.00250626566416,-7.85250404531499
9,7,5.02255639097744,-7.94820777381816
9,7,5.04260651629073,-8.03806915337817
9,7,5.06265664160401,-8.1219903118943
9,7,5.08270676691729,-8.19990887038154
9,7,5.10275689223058,-8.27179701673542
9,7,5.12280701754386,-8.33765997871347
9,7,5.14285714285714,-8.39753394893023
9,7,5.16290726817043,-8.45148353088732
9,7,5.18295739348371,-8.49959878757831
9,7,5.20300751879699,-8.54199198255363
9,7,5.22305764411028,-8.57879410735529
9,7,5.24310776942356,-8.61015128911024
9,7,5.26315789473684,-8.636221168233
9,7,5.28320802005013,-8.65716932927554
9,7,5.30325814536341,-8.67316585872493
9,7,5.32330827067669,-8.68438209280372
9,7,5.34335839598998,-8.69098760684193
9,7,5.36340852130326,-8.69314748627537
9,7,5.38345864661654,-8.69101990835982
9,7,5.40350877192982,-8.68475405371485
9,7,5.42355889724311,-8.67448835812188
