Height [mm],Radius [mm],Freq [GHz],S11 [dB]
10.0,8.0,4.0,-4.17219533070335
10.0,8.0,4.02,-4.40330436717867
10.0,8.0,4.039999999999999,-4.64404487991416
10.0,8.0,4.059999999999999,-4.89435866316084
10.0,8.0,4.079999999999998,-5.1541120260606
10.0,8.0,4.099999999999998,-6.06650887650941
10.0,8.0,4.119999999999997,-6.06650887650941
10.0,8.0,4.139999999999997,-5.98724978494445
10.0,8.0,4.159999999999997,-6.28140924559574
10.0,8.0,4.179999999999996,-6.58266869095636
10.0,8.0,4.199999999999996,-6.89008343786749
10.0,8.0,4.219999999999995,-7.51847729616125
10.0,8.0,4.239999999999995,-7.51847729616125
10.0,8.0,4.2599999999999945,-7.83635512508048
10.0,8.0,4.279999999999994,-8.15412835732921
10.0,8.0,4.299999999999994,-8.46947414452994
10.0,8.0,4.319999999999993,-8.77973049736123
10.0,8.0,4.339999999999993,-9.08190092913211
10.0,8.0,4.359999999999992,-9.64852204958773
10.0,8.0,4.379999999999992,-9.64852204958773
10.0,8.0,4.3999999999999915,-10.1465165395308
10.0,8.0,4.419999999999991,-10.1405239402192
10.0,8.0,4.439999999999991,-10.3493682763357
10.0,8.0,4.45999999999999,-10.5289964430625
10.0,8.0,4.47999999999999,-10.6766969614198
10.0,8.0,4.499999999999989,-10.7904809563625
10.0,8.0,4.519999999999989,-10.8692244716535
10.0,8.0,4.5399999999999885,-10.9127461686795
10.0,8.0,4.559999999999988,-10.9127461686795
10.0,8.0,4.579999999999988,-10.8980353029171
10.0,8.0,4.599999999999987,-10.8437803423276
10.0,8.0,4.619999999999987,-10.7619335214486
10.0,8.0,4.639999999999986,-10.6557265461172
10.0,8.0,4.659999999999986,-10.5285404894953
10.0,8.0,4.6799999999999855,-10.3837401021867
10.0,8.0,4.699999999999985,-10.2245437795928
10.0,8.0,4.719999999999985,-10.0539319186525
10.0,8.0,4.739999999999984,-9.87459103571676
10.0,8.0,4.759999999999984,-9.68888786251389
10.0,8.0,4.779999999999983,-9.49886641533711
10.0,8.0,4.799999999999983,-9.11252048520978
10.0,8.0,4.8199999999999825,-9.11252048520978
10.0,8.0,4.839999999999982,-9.11252048520978
10.0,8.0,4.859999999999982,-8.72617058487356
10.0,8.0,4.879999999999981,-8.53529518011203
10.0,8.0,4.899999999999981,-8.34681156389725
10.0,8.0,4.91999999999998,-8.16118186962212
10.0,8.0,4.93999999999998,-7.62440689274087
10.0,8.0,4.9599999999999795,-7.62440689274087
10.0,8.0,4.979999999999979,-7.62440689274087
10.0,8.0,4.999999999999979,-7.45277075345463
10.0,8.0,5.019999999999978,-7.28491793516428
10.0,8.0,5.039999999999978,-7.12086536660966
10.0,8.0,5.059999999999977,-6.96059911188978
10.0,8.0,5.079999999999977,-6.80408183611643
10.0,8.0,5.0999999999999766,-6.65125899005931
10.0,8.0,5.119999999999976,-6.35642202615558
10.0,8.0,5.139999999999976,-6.35642202615558
10.0,8.0,5.159999999999975,-6.03058438310828
10.0,8.0,5.179999999999975,-6.07547983029132
10.0,8.0,5.199999999999974,-5.94001849655758
10.0,8.0,5.219999999999974,-5.80779232621721
10.0,8.0,5.239999999999974,-5.80779232621721
10.0,8.0,5.259999999999973,-5.55275334956599
10.0,8.0,5.279999999999973,-5.29701173355297
10.0,8.0,5.299999999999972,-5.30983069605407
10.0,8.0,5.319999999999972,-5.19277244277138
10.0,8.0,5.339999999999971,-5.07858740102301
10.0,8.0,5.359999999999971,-4.9672369920161
10.0,8.0,5.379999999999971,-4.85868886439096
10.0,8.0,5.39999999999997,-4.75291656275395
10.0,8.0,5.41999999999997,-4.64989908295192
10.0,8.0,5.439999999999969,-4.54962033029456
10.0,8.0,5.459999999999969,-4.45206849668417
10.0,8.0,5.4799999999999685,-4.3572353726264
10.0,8.0,5.499999999999968,-4.26511561023362
10.0,8.0,5.519999999999968,-4.17570595348064
10.0,8.0,5.539999999999967,-4.08900445202114
10.0,8.0,5.559999999999967,-4.00500967473444
10.0,8.0,5.579999999999966,-3.92371993877732
10.0,8.0,5.599999999999966,-3.84513256921403
10.0,8.0,5.6199999999999655,-3.76924320326585
10.0,8.0,5.639999999999965,-3.76924320326585
10.0,8.0,5.659999999999965,-3.62552882946471
10.0,8.0,5.679999999999964,-3.55768126131641
